sovereignt,year,sex,age,population,suicides_100k,gdp_per_capita,generation
Albania,2010,male,55-74,241852,8.27,4359,Silent
Albania,2010,male,35-54,371611,5.38,4359,Generation X
Albania,2010,male,25-34,179720,5.01,4359,Generation X
Albania,2010,male,75+,50767,3.94,4359,Silent
Albania,2010,male,15-24,279508,3.58,4359,Millenials
Albania,2010,female,25-34,183579,3.27,4359,Generation X
Albania,2010,female,75+,64415,3.1,4359,Silent
Albania,2010,female,35-54,394593,3.04,4359,Generation X
Albania,2010,female,55-74,241491,2.9,4359,Silent
Albania,2010,female,15-24,263581,2.28,4359,Millenials
Albania,2010,female,5-14,223969,0.89,4359,Generation Z
Albania,2010,male,5-14,240939,0.0,4359,Generation Z
Argentina,2010,male,75+,657096,31.35,11273,Silent
Argentina,2010,male,15-24,3455127,19.77,11273,Millenials
Argentina,2010,male,25-34,3237957,14.98,11273,Generation X
Argentina,2010,male,55-74,2740656,14.49,11273,Silent
Argentina,2010,male,35-54,4648068,12.33,11273,Generation X
Argentina,2010,female,15-24,3358103,4.47,11273,Millenials
Argentina,2010,female,35-54,4804030,3.37,11273,Generation X
Argentina,2010,female,25-34,3210247,3.15,11273,Generation X
Argentina,2010,female,55-74,3212253,3.08,11273,Silent
Argentina,2010,female,75+,1234182,2.75,11273,Silent
Argentina,2010,male,5-14,3570316,0.92,11273,Generation Z
Argentina,2010,female,5-14,3450419,0.58,11273,Generation Z
Armenia,2010,male,75+,52333,11.47,3460,Silent
Armenia,2010,male,55-74,193100,6.73,3460,Silent
Armenia,2010,male,25-34,202936,4.93,3460,Generation X
Armenia,2010,male,35-54,346739,4.33,3460,Generation X
Armenia,2010,male,15-24,252152,3.17,3460,Millenials
Armenia,2010,female,55-74,253182,2.76,3460,Silent
Armenia,2010,female,75+,81770,2.45,3460,Silent
Armenia,2010,female,5-14,167142,1.2,3460,Generation Z
Armenia,2010,female,35-54,427571,1.17,3460,Generation X
Armenia,2010,male,5-14,191722,1.04,3460,Generation Z
Armenia,2010,female,15-24,270727,0.74,3460,Millenials
Armenia,2010,female,25-34,236851,0.42,3460,Generation X
Aruba,2010,male,35-54,15543,25.74,25974,Generation X
Aruba,2010,male,55-74,8660,23.09,25974,Silent
Aruba,2010,female,55-74,10186,9.82,25974,Silent
Aruba,2010,female,15-24,6031,0.0,25974,Millenials
Aruba,2010,female,25-34,6488,0.0,25974,Generation X
Aruba,2010,female,35-54,17826,0.0,25974,Generation X
Aruba,2010,female,5-14,7148,0.0,25974,Generation Z
Aruba,2010,female,75+,2264,0.0,25974,Silent
Aruba,2010,male,15-24,6437,0.0,25974,Millenials
Aruba,2010,male,25-34,5568,0.0,25974,Generation X
Aruba,2010,male,5-14,7414,0.0,25974,Generation Z
Aruba,2010,male,75+,1441,0.0,25974,Silent
Australia,2010,male,35-54,3076853,26.52,54887,Generation X
Australia,2010,male,75+,582009,25.94,54887,Silent
Australia,2010,male,25-34,1606526,19.36,54887,Generation X
Australia,2010,male,55-74,2051197,17.55,54887,Silent
Australia,2010,male,15-24,1618860,13.71,54887,Millenials
Australia,2010,female,35-54,3132534,7.28,54887,Generation X
Australia,2010,female,25-34,1579905,5.95,54887,Generation X
Australia,2010,female,75+,805401,5.34,54887,Silent
Australia,2010,female,15-24,1521652,5.26,54887,Millenials
Australia,2010,female,55-74,2103428,4.94,54887,Silent
Australia,2010,male,5-14,1420846,0.49,54887,Generation Z
Australia,2010,female,5-14,1348336,0.3,54887,Generation Z
Austria,2010,male,75+,240431,74.87,49181,Silent
Austria,2010,male,55-74,838208,34.24,49181,Silent
Austria,2010,male,35-54,1296607,25.07,49181,Generation X
Austria,2010,male,15-24,518657,17.55,49181,Millenials
Austria,2010,male,25-34,542986,15.65,49181,Generation X
Austria,2010,female,75+,431151,14.38,49181,Silent
Austria,2010,female,55-74,923411,9.75,49181,Silent
Austria,2010,female,35-54,1291400,7.9,49181,Generation X
Austria,2010,female,25-34,539299,4.64,49181,Generation X
Austria,2010,female,15-24,499638,2.8,49181,Millenials
Austria,2010,male,5-14,433795,0.46,49181,Generation Z
Austria,2010,female,5-14,412838,0.24,49181,Generation Z
Bahamas,2010,male,75+,3090,32.36,30239,Silent
Bahamas,2010,female,15-24,31792,6.29,30239,Millenials
Bahamas,2010,male,35-54,50326,5.96,30239,Generation X
Bahamas,2010,male,55-74,21188,4.72,30239,Silent
Bahamas,2010,female,55-74,25150,3.98,30239,Silent
Bahamas,2010,male,15-24,31968,3.13,30239,Millenials
Bahamas,2010,female,35-54,53312,1.88,30239,Generation X
Bahamas,2010,female,25-34,28521,0.0,30239,Generation X
Bahamas,2010,female,5-14,26732,0.0,30239,Generation Z
Bahamas,2010,female,75+,5772,0.0,30239,Silent
Bahamas,2010,male,25-34,28398,0.0,30239,Generation X
Bahamas,2010,male,5-14,27620,0.0,30239,Generation Z
Bahrain,2010,male,35-54,252232,3.17,22572,Generation X
Bahrain,2010,male,25-34,235591,2.55,22572,Generation X
Bahrain,2010,male,55-74,41999,2.38,22572,Silent
Bahrain,2010,female,35-54,125709,1.59,22572,Generation X
Bahrain,2010,female,15-24,80571,1.24,22572,Millenials
Bahrain,2010,female,25-34,104368,0.96,22572,Generation X
Bahrain,2010,female,5-14,77140,0.0,22572,Generation Z
Bahrain,2010,female,55-74,27834,0.0,22572,Silent
Bahrain,2010,female,75+,4625,0.0,22572,Silent
Bahrain,2010,male,15-24,103388,0.0,22572,Millenials
Bahrain,2010,male,5-14,81414,0.0,22572,Generation Z
Bahrain,2010,male,75+,4289,0.0,22572,Silent
Barbados,2010,male,35-54,39379,7.62,17034,Generation X
Barbados,2010,female,15-24,18739,0.0,17034,Millenials
Barbados,2010,female,25-34,19612,0.0,17034,Generation X
Barbados,2010,female,35-54,43369,0.0,17034,Generation X
Barbados,2010,female,5-14,18590,0.0,17034,Generation Z
Barbados,2010,female,55-74,26589,0.0,17034,Silent
Barbados,2010,female,75+,9853,0.0,17034,Silent
Barbados,2010,male,15-24,18747,0.0,17034,Millenials
Barbados,2010,male,25-34,18826,0.0,17034,Generation X
Barbados,2010,male,5-14,19462,0.0,17034,Generation Z
Barbados,2010,male,55-74,22675,0.0,17034,Silent
Barbados,2010,male,75+,6086,0.0,17034,Silent
Belarus,2010,male,75+,158977,72.34,6371,Silent
Belarus,2010,male,35-54,1353782,64.19,6371,Generation X
Belarus,2010,male,55-74,744533,61.52,6371,Silent
Belarus,2010,male,25-34,723856,52.77,6371,Generation X
Belarus,2010,male,15-24,707657,33.91,6371,Millenials
Belarus,2010,female,75+,432426,14.34,6371,Silent
Belarus,2010,female,35-54,1483086,9.78,6371,Generation X
Belarus,2010,female,25-34,715558,8.39,6371,Generation X
Belarus,2010,female,55-74,1092687,7.6,6371,Silent
Belarus,2010,female,15-24,668827,5.83,6371,Millenials
Belarus,2010,male,5-14,462298,1.08,6371,Generation Z
Belarus,2010,female,5-14,437506,0.23,6371,Generation Z
Belgium,2010,male,75+,354037,51.69,47355,Silent
Belgium,2010,male,35-54,1576828,39.45,47355,Generation X
Belgium,2010,male,55-74,1084719,32.82,47355,Silent
Belgium,2010,male,25-34,696461,26.42,47355,Generation X
Belgium,2010,female,35-54,1548246,15.7,47355,Generation X
Belgium,2010,female,55-74,1156036,14.96,47355,Silent
Belgium,2010,male,15-24,663725,14.77,47355,Millenials
Belgium,2010,female,75+,586690,10.74,47355,Silent
Belgium,2010,female,25-34,693304,7.21,47355,Generation X
Belgium,2010,female,15-24,647625,4.94,47355,Millenials
Belgium,2010,male,5-14,614697,1.14,47355,Generation Z
Belgium,2010,female,5-14,588803,0.34,47355,Generation Z
Belize,2010,male,55-74,11553,17.31,4923,Silent
Belize,2010,male,25-34,24053,16.63,4923,Generation X
Belize,2010,male,35-54,32734,15.27,4923,Generation X
Belize,2010,male,15-24,32338,6.18,4923,Millenials
Belize,2010,female,35-54,32852,6.09,4923,Generation X
Belize,2010,female,15-24,32738,0.0,4923,Millenials
Belize,2010,female,25-34,25416,0.0,4923,Generation X
Belize,2010,female,5-14,38304,0.0,4923,Generation Z
Belize,2010,female,55-74,10522,0.0,4923,Silent
Belize,2010,female,75+,2363,0.0,4923,Silent
Belize,2010,male,5-14,38669,0.0,4923,Generation Z
Belize,2010,male,75+,2254,0.0,4923,Silent
Brazil,2010,male,75+,1882113,19.02,12161,Silent
Brazil,2010,male,55-74,10813388,11.43,12161,Silent
